City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
171,Dezhou,CN,37.4486,116.2925,90.99,51,0,5.53,clear sky,2021-07-25 03:07:42
172,San Cristobal,VE,7.7669,-72.225,66.65,99,100,3.67,overcast clouds,2021-07-25 03:07:42
173,Kutum,SD,14.2,24.6667,72.07,77,98,10.85,overcast clouds,2021-07-25 03:07:42
174,Kaeo,NZ,-35.1,173.7833,61.32,79,100,14.76,light rain,2021-07-25 03:07:43
175,Hamilton,US,39.1834,-84.5333,79.84,75,40,1.01,scattered clouds,2021-07-25 03:06:51
176,Mount Gambier,AU,-37.8333,140.7667,48.11,100,75,9.22,light intensity shower rain,2021-07-25 03:05:28
177,Emba,KZ,48.8264,58.1442,73.87,42,0,9.82,clear sky,2021-07-25 03:07:43
178,Lata,PT,40.1629,-8.3327,61.92,95,30,1.16,scattered clouds,2021-07-25 03:07:44
179,Orlik,RU,52.5178,99.825,69.73,60,100,0.96,overcast clouds,2021-07-25 03:07:44
180,College,US,64.8569,-147.8028,70.0,56,75,10.36,broken clouds,2021-07-25 03:05:44
181,Egvekinot,RU,66.3167,-179.1667,50.05,85,100,3.69,overcast clouds,2021-07-25 03:07:44
182,Matay,EG,28.419,30.7792,74.93,65,0,9.01,clear sky,2021-07-25 03:07:45
183,Nizhniy Tsasuchey,RU,50.5167,115.1333,72.45,49,25,10.87,scattered clouds,2021-07-25 03:07:46
184,Seoul,KR,37.5683,126.9778,93.61,34,100,6.15,overcast clouds,2021-07-25 03:07:13
185,Kaitangata,NZ,-46.2817,169.8464,49.93,54,96,10.11,overcast clouds,2021-07-25 03:07:46
186,Deputatskiy,RU,69.3,139.9,58.1,50,25,13.71,scattered clouds,2021-07-25 03:07:46
187,Antalaha,MG,-14.9003,50.2788,68.94,81,100,11.95,light rain,2021-07-25 03:07:47
188,Brainerd,US,46.358,-94.2008,71.89,53,1,3.44,clear sky,2021-07-25 03:07:02
189,Eureka,US,40.8021,-124.1637,58.19,82,26,2.44,scattered clouds,2021-07-25 03:04:58
190,Oudtshoorn,ZA,-33.5907,22.2014,52.16,26,8,6.22,clear sky,2021-07-25 03:07:47
191,Esperance,AU,-33.8667,121.9,60.31,63,98,20.33,overcast clouds,2021-07-25 03:07:47
192,Longyearbyen,SJ,78.2186,15.6401,40.32,93,100,1.03,overcast clouds,2021-07-25 03:03:09
193,Hasaki,JP,35.7333,140.8333,91.29,74,18,11.81,few clouds,2021-07-25 03:07:48
194,Klaksvik,FO,62.2266,-6.589,50.92,98,57,8.34,broken clouds,2021-07-25 03:07:48
195,Toamasina,MG,-18.1667,49.3833,68.52,80,81,7.94,light rain,2021-07-25 03:07:48
196,Sungaipenuh,ID,-2.0833,101.3833,78.98,56,20,1.79,few clouds,2021-07-25 03:07:48
197,Jina,RO,45.7833,23.6833,48.02,72,0,6.2,clear sky,2021-07-25 03:07:49
198,Anadyr,RU,64.75,177.4833,60.01,93,100,0.63,overcast clouds,2021-07-25 03:05:12
199,Saldanha,ZA,-33.0117,17.9442,53.44,45,100,10.8,overcast clouds,2021-07-25 03:07:49
200,Kupang,ID,-10.1667,123.5833,84.78,48,20,6.91,few clouds,2021-07-25 03:07:49
201,Waipawa,NZ,-41.4122,175.5153,56.03,64,1,10.33,clear sky,2021-07-25 03:07:50
202,Kushiro,JP,42.975,144.3747,72.55,100,75,9.22,fog,2021-07-25 03:07:50
203,Okakarara,NA,-20.5833,17.4333,41.76,52,0,5.95,clear sky,2021-07-25 03:07:50
204,Hobyo,SO,5.3505,48.5268,76.55,79,92,22.17,overcast clouds,2021-07-25 03:07:50
205,Rongcheng,CN,30.634,117.8517,80.15,88,93,12.17,overcast clouds,2021-07-25 03:07:51
206,Balakhninskiy,RU,58.0106,114.2769,77.65,38,88,6.2,overcast clouds,2021-07-25 03:07:51
207,Shilong,CN,23.1123,113.8425,94.96,50,38,4.21,light rain,2021-07-25 03:07:51
208,Baarle-Hertog,BE,51.4041,4.8916,63.14,94,33,5.75,mist,2021-07-25 03:07:51
209,Omsukchan,RU,62.5333,155.8,55.89,82,100,6.08,overcast clouds,2021-07-25 03:07:52
210,Florida,US,28.7505,-82.5001,82.98,84,1,5.75,clear sky,2021-07-25 03:02:55
211,Thinadhoo,MV,0.5333,72.9333,82.38,76,80,11.63,broken clouds,2021-07-25 03:07:52
212,Harper,LR,4.375,-7.7169,75.0,75,91,6.4,overcast clouds,2021-07-25 03:07:52
213,Celestun,MX,20.8667,-90.4,80.26,84,47,12.15,scattered clouds,2021-07-25 03:07:53
214,Arnsberg,DE,51.3297,8.0071,62.17,1,17,4.41,few clouds,2021-07-25 03:07:53
215,Payo,ID,-3.7508,103.6372,85.82,59,1,3.53,clear sky,2021-07-25 03:07:53
216,Coihaique,CL,-45.5752,-72.0662,31.95,93,0,2.3,clear sky,2021-07-25 03:07:53
217,Avarua,CK,-21.2078,-159.775,77.05,69,25,10.36,scattered clouds,2021-07-25 03:07:54
218,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.7,73,0,12.28,clear sky,2021-07-25 03:03:24
219,Saint George,US,37.1041,-113.5841,84.63,56,1,1.01,clear sky,2021-07-25 03:07:54
220,Lompoc,US,34.6391,-120.4579,71.78,88,90,10.36,overcast clouds,2021-07-25 03:07:54
221,Phuket,TH,8.0,98.25,88.09,74,20,11.5,few clouds,2021-07-25 03:03:08
222,Asau,RO,46.4333,26.4,63.75,87,2,2.8,clear sky,2021-07-25 03:07:55
223,Batemans Bay,AU,-35.7167,150.1833,57.9,34,14,15.61,few clouds,2021-07-25 03:07:55
224,Dengfeng,CN,34.4553,113.0281,84.51,63,2,3.49,clear sky,2021-07-25 03:07:55
225,Norman Wells,CA,65.282,-126.8329,68.23,39,23,6.62,few clouds,2021-07-25 03:07:56
226,Gornopravdinsk,RU,60.05,69.9,60.46,77,100,2.26,overcast clouds,2021-07-25 03:07:56
227,Agirish,RU,61.9247,63.0231,52.56,59,32,7.78,scattered clouds,2021-07-25 03:07:56
228,Whitianga,NZ,-36.8333,175.7,60.03,80,95,12.86,overcast clouds,2021-07-25 03:07:56
229,Victoria,HK,22.2855,114.1577,91.96,79,47,1.01,scattered clouds,2021-07-25 03:07:08
230,Paamiut,GL,61.994,-49.6678,41.16,85,84,8.23,broken clouds,2021-07-25 03:04:47
231,Zambezi,ZM,-13.5432,23.1047,53.2,78,1,9.93,clear sky,2021-07-25 03:07:57
232,Mangrol,IN,21.1167,70.1167,81.05,87,100,22.5,overcast clouds,2021-07-25 03:07:57
233,Merauke,ID,-8.4667,140.3333,78.39,82,100,9.26,overcast clouds,2021-07-25 03:07:58
234,Viedma,AR,-40.8135,-62.9967,40.37,86,54,6.31,broken clouds,2021-07-25 03:07:58
235,Alvorada,BR,-12.48,-49.1247,71.58,38,4,4.52,clear sky,2021-07-25 03:07:58
236,Huangpu,CN,25.4433,113.1747,86.59,68,52,4.88,broken clouds,2021-07-25 03:07:59
237,Turan,VN,16.0678,108.2208,93.18,46,40,14.97,scattered clouds,2021-07-25 03:07:14
238,San Quintin,MX,30.4833,-115.95,68.54,84,100,7.43,overcast clouds,2021-07-25 03:07:59
239,La Ronge,CA,55.1001,-105.2842,61.02,82,75,4.61,broken clouds,2021-07-25 03:07:59
240,Yashkul,RU,46.1711,45.3435,79.41,35,96,4.52,overcast clouds,2021-07-25 03:08:00
241,Kokoda,PG,-8.8785,147.7407,87.26,59,84,5.55,broken clouds,2021-07-25 03:08:00
242,Cabra,ES,37.4725,-4.4421,69.66,48,0,2.91,clear sky,2021-07-25 03:08:00
243,Homer,US,59.6425,-151.5483,63.09,79,20,8.05,few clouds,2021-07-25 03:08:00
244,Severo-Kurilsk,RU,50.6789,156.125,57.81,89,99,2.86,overcast clouds,2021-07-25 03:08:01
245,Noslac,RO,46.4,23.9333,59.05,94,1,5.75,clear sky,2021-07-25 03:08:01
246,Twentynine Palms,US,34.1356,-116.0542,88.05,35,97,8.84,overcast clouds,2021-07-25 03:08:01
