City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Ugoofaaru,MV,80.8,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
91,Livramento,BR,81.27,light rain,-3.0254,-60.1803,Refúgio Samauma
95,Dickinson,US,86.27,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
96,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
101,Hilo,US,79.61,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
102,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
106,Biak,ID,81.57,broken clouds,-0.9131,122.8766,Penginapan Kim
108,Portland,US,86.58,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
113,Kavieng,PG,83.91,light rain,-2.5744,150.7967,Nusa Island Retreat
117,Kloulklubed,PW,84.6,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
118,Faanui,PF,78.75,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Galle,LK,80.42,scattered clouds,6.0367,80.217,Amangalla
128,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
131,Arauca,CO,75.09,light rain,7.0847,-70.7591,Hotel Verano Plaza
138,Mayo,US,79.43,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
140,Cabo San Lucas,MX,88.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
143,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Yarada,IN,82.72,light rain,17.65,83.2667,Jeevan
146,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
152,Berbera,SO,83.41,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
156,Acapulco,MX,81.45,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
158,Bathsheba,BB,80.74,overcast clouds,13.2167,-59.5167,Atlantis Hotel
159,Sompeta,IN,87.03,overcast clouds,18.9333,84.6,Netaji's Home
161,Tolentino,IT,76.5,overcast clouds,43.2126,13.2901,Hotel Cluentum
162,Kencong,ID,81.12,clear sky,-8.2833,113.3667,GUBUK SUGIANTO
163,North Platte,US,80.02,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
164,Layou,VC,78.28,overcast clouds,13.2,-61.2667,Grace And Truth Campsite
168,Kavaratti,IN,81.95,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
175,Hamilton,US,79.84,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
196,Sungaipenuh,ID,78.98,few clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
200,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
204,Hobyo,SO,76.55,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
205,Rongcheng,CN,80.15,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
210,Florida,US,82.98,clear sky,28.7505,-82.5001,Sportsmens Cove
212,Harper,LR,75.0,overcast clouds,4.375,-7.7169,Screensaver
213,Celestun,MX,80.26,scattered clouds,20.8667,-90.4,Posada Lilia
215,Payo,ID,85.82,clear sky,-3.7508,103.6372,Mess keban agung
217,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
219,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
221,Phuket,TH,88.09,few clouds,8.0,98.25,The Surin Phuket
224,Dengfeng,CN,84.51,clear sky,34.4553,113.0281,Songshan Dihao Hotel
